index,Solvent,dS (J/mol/K),Temp (C),BASE_State,BASE_Category,Monomer SMILES,Canonical SMILES
54,,-127.5,25,ls,vinyl,C[Si](C)(C=C)C1=CC=CC=C1,C=C[Si](C)(C)c1ccccc1
55,,-95.4,,ls,vinyl,C[Si](C)(CC1=CC=CC=C1)C=C,C=C[Si](C)(C)Cc1ccccc1
56,dimethylformamide,-108.8,83,ss,vinyl,C=C1CCCOC1=O,C=C1CCCOC1=O
57,dichloromethane-D,-40.1,,ss,vinyl,C=C1CCOC1=O,C=C1CCOC1=O
58,toluene,-81.2,,ss,vinyl,O=C1OC(C)(C(C)C)OC1=C,C=C1OC(C)(C(C)C)OC1=O
59,,-198.0,,gg,vinyl,CC=C,C=CC
60,,-114.5,,ls,vinyl,CC=C,C=CC
61,,-101.0,25,ls,misc,CC(=C)C=C,C=CC(=C)C
62,,-99.67,,ls,vinyl,CCOC(=O)C=C,C=CC(=O)OCC
63,,-109.0,25,ls,vinyl,C=CC#N,C=CC#N
64,,-86.5,,ls,misc,C=CC=C,C=CC=C
65,,-22.9,,ls,ROP,CC=C1CCC(OC1=O)C=C,C=CC1CCC(=CC)C(=O)O1
67,,-105.4,,ls,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1
68,,-149.0,25,gg,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1
69,,-93.0,,ls,vinyl,C=CC1CCCCC1,C=CC1CCCCC1
70,,-100.25,,ls,vinyl,CCC=C,C=CCC
71,,-182.0,227,gg,vinyl,CCC=C,C=CCC
72,,-121.0,,ls,vinyl,CC(C)CC=C,C=CCC(C)C
73,,-176.0,327,gg,vinyl,CC(C)CC=C,C=CCC(C)C
74,,-118.5,,ls,vinyl,CCCC=C,C=CCCC
75,,-194.0,,gg,vinyl,CCCC=C,C=CCCC
76,,-113.0,,ls,vinyl,CCCCC=C,C=CCCCC
77,,-168.0,25,gg,vinyl,CCCCCC=C,C=CCCCCC
78,,-92.67,,ls,vinyl,C=CCOC(=O)C=C,C=CCOC(=O)C=C
79,acetonitrile,-26.8,,ss,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1
80,toluene,-46.6,,ss,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1
81,,-6.9,,ls,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1
82,,-48.33,,ls,vinyl,C=CCOCCOC(=O)C=C,C=CCOCCOC(=O)C=C
83,pyridine,-28.1,,ss,ROP,C=CCOCCOCCOCCOC(=O)NC1C(=O)SC1(C)C,C=CCOCCOCCOCCOC(=O)NC1C(=O)SC1(C)C
84,,-109.6208,25,ls,vinyl,CC(=O)OC=C,C=COC(C)=O
85,,-135.98,,gg,ionic,C=O,C=O
86,dichloromethane,-14.2,,ss,ROMP,C/2=C/CC[C@@H]1CC[C@H]1CC2,C1=C\CC[C@@H]2CC[C@H]2CC/1
87,dichloromethane,-13.4,,ss,ROMP,C/2=C/CC[C@@H]1CCC[C@H]1CC2,C1=C\CC[C@@H]2CCC[C@H]2CC/1
88,dichloromethane,-13.8,,ss,ROMP,C/3=C/CC[C@@H]2OC1(CCCCC1)O[C@H]2CC3,C1=C\CC[C@@H]2OC3(CCCCC3)O[C@H]2CC/1
89,dichloromethane,-12.1,,ss,ROMP,C/2=C/CC[C@@H]1OCO[C@H]1CC2,C1=C\CC[C@@H]2OCO[C@H]2CC/1
90,dichloromethane,-13.8,,ss,ROMP,C12CC/C=C\CCC1OC3(CCCCC3)O2,C1=C\CCC2OC3(CCCCC3)OC2CC/1
91,toluene,-29.3,50,ss,ROMP,C1(SSS2)C2C3C(CC=C4)C4C1C3,C1=CC2C(C1)C1CC2C2SSSC12
92,,-75.5,,ls,ROMP,C1CC2CC1C=C2,C1=CC2CCC1C2
93,toluene,-98.0,60,ss,vinyl,C1=CC2=C3C(=C1)C=CC3=CC=C2,C1=Cc2cccc3cccc1c23
94,toluene,-79.9,,ss,ROMP,C1C=CCC1C2=CC=CC=C2,C1=CCC(c2ccccc2)C1
95,dichloromethane,-68.5,,ss,ROMP,C1(COCC2=CC=CC=C2)CC=CC1,C1=CCC(COCc2ccccc2)C1
96,tetrahydrofuran,-59.6,,ss,ROMP,C1(OCC2=CC=CC=C2)CC=CC1,C1=CCC(OCc2ccccc2)C1
97,,-131.0,25,gg,ROMP,C1CC=C1,C1=CCC1
98,,-52.0,25,ls,ROMP,C1CC=C1,C1=CCC1
99,tetrahydrofuran,-54.2,,ss,ROMP,C1CC=CC1,C1=CCCC1
100,,-54.0,73,ls,ROMP,C1CC=CC1,C1=CCCC1
101,toluene,-77.4,,ss,ROMP,C1=CCCC1,C1=CCCC1
102,toluene,-17.0,-65,ss,ROMP,C1CCC=CC1,C1=CCCCC1
103,,-36.0,51,ls,ROMP,C1CCC=CCC1,C1=CCCCCC1
104,,-9.0,57,ls,ROMP,C1CCCC=CCC1,C1=CCCCCCC1
105,,-69.0,25,ls,cyclic,C1CC1,C1CC1
106,,-55.0,25,ls,cyclic,C1CCC1,C1CCC1
107,,-43.0,25,ls,cationic,C1CCCC1,C1CCCC1
108,,-11.0,25,ls,cyclic,C1CCCCC1,C1CCCCC1
109,,-16.0,25,ls,cyclic,C1CCCCCC1,C1CCCCCC1
110,,-3.0,25,ls,cationic,C1CCCCCCC1,C1CCCCCCC1
111,,12.4,25,ls,cationic,C1CCCOCC1,C1CCCOCC1
112,,-91.8,25,gg,cationic,C1CCCOCC1,C1CCCOCC1
113,diethyl ether,-87.0,40,ss,cationic,C1CCOC1,C1CCOC1
114,,-131.33,,gg,cationic,C1CCOC1,C1CCOC1
115,,-67.0,40,ls,cationic,C1CCOC1,C1CCOC1
116,benzene,-39.0,60,ss,cationic,C1CCOCOC1,C1CCOCOC1
117,"1,2-dichloroethane",-43.0,0,ss,cationic,C1CCOCOC1,C1CCOCOC1
118,dichloromethane,-48.0,-30,ss,cationic,C1CCOCOC1,C1CCOCOC1
119,,-32.05,,ls,cationic,C1CCOCOC1,C1CCOCOC1
120,toluene,-26.0,75,ss,cationic,C1CCOCOC1,C1CCOCOC1
121,,-131.4,25,gg,cationic,C1CCOCOC1,C1CCOCOC1
122,,-10.2,25,ls,cationic,C1CCOCOCC1,C1CCOCOCC1
123,,-121.7,25,gg,cationic,C1CCOCOCC1,C1CCOCOCC1
124,,-51.9,27,ls,cationic,C1CN1,C1CN1
125,,-174.0,25,gg,cationic,C1CO1,C1CO1
126,,-68.4,25,ls,cationic,C1COC1,C1COC1
127,,-162.7,25,gg,cationic,C1COC1,C1COC1
128,gamma valerolactone,-78.0,,ss,cationic,C1COCO1,C1COCO1
129,,-48.5,,ls,cationic,C1COCO1,C1COCO1
130,benzene,-59.0,30,ss,cationic,C1COCO1,C1COCO1
131,chloromethane,-94.0,20,ss,cationic,C1COCO1,C1COCO1
132,dichloromethane,-78.0,0,ss,cationic,C1COCO1,C1COCO1
133,toluene,-22.0,75,ss,cationic,C1COCO1,C1COCO1
134,,-151.0,,gg,cationic,C1COCO1,C1COCO1
135,,-23.0,20,ls,cationic,C1COCOC1,C1COCOC1
136,benzene,-39.0,60,ss,cationic,C1COCOCCO1,C1COCOCCO1
137,toluene,-13.0,20,ss,cationic,C1COCOCCO1,C1COCOCCO1
138,,-8.0,25,ls,cationic,C1COCOCCO1,C1COCOCCO1
139,,-129.1,25,gg,cationic,C1COCOCCO1,C1COCOCCO1
140,,-51.0,25,gg,cationic,C1COOOO1,C1COOOO1
141,,3.0,27,ls,cationic,C1COOOO1,C1COOOO1
142,,-156.0,25,gg,cationic,C1OCOCO1,C1OCOCO1
143,"1,2-dichloroethane",-41.0,40,ss,cationic,C1OCOCO1,C1OCOCO1
144,nitrobenzene,-42.0,25,ss,cationic,C1OCOCO1,C1OCOCO1
145,,-18.0,25,ls,cationic,C1OCOCO1,C1OCOCO1
146,,-93.6,-80,ls,ionic,CC(=O)CCC=O,CC(=O)CCC=O
147,,293.3,,gg,ionic,CC(=O)O,CC(=O)O
148,toluene,-30.0,,ss,ROMP,C[Si](C(C)(C)C)(OC1C=CCC1)C,CC(C)(C)[Si](C)(C)OC1C=CCC1
149,tetrahydrofuran,-58.5,,ss,ROMP,C[Si](OC1CC=CC1)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)OC1CC=CC1
150,dichloromethane+chloroform,-40.4,,ss,ROP,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2
151,tetrahydrofuran,-90.0,-65,ss,ionic,CC(C)(Cl)C=O,CC(C)(Cl)C=O
152,toluene,-27.4,,ss,cationic,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,CC(C)[C@@H]1CC[C@@H](C)CC1=O
153,,-188.0,25,gg,ionic,CC(=O)C,CC(C)=O
154,,-48.9,,ls,ionic,CC(=S)C,CC(C)=S
155,diethyl ether,-78.0,-65,ss,ionic,CC(C)C=O,CC(C)C=O
156,n-pentane,-94.0,65,ss,ionic,CC(C)C=O,CC(C)C=O
157,tetrahydrofuran,-74.0,-65,ss,ionic,CC(C)C=O,CC(C)C=O
158,,-60.7,80,ls,cationic,CC(C)C1COCO1,CC(C)C1COCO1
159,tetrahydrofuran,-74.0,-65,ss,ionic,CC(C=O)(Cl)Cl,CC(Cl)(Cl)C=O
160,toluene,-80.0,,ss,ROMP,CC[Si](CC)(OC1C=CCC1)CC,CC[Si](CC)(CC)OC1C=CCC1
161,,-25.0,25,ls,cationic,CC[Si]1(O[Si](O[Si](O1)(CC)CC)(CC)CC)CC,CC[Si]1(CC)O[Si](CC)(CC)O[Si](CC)(CC)O1
162,,-17.5,,ls,ionic,CC=O,CC=O
163,,-93.0,25,ls,cationic,CC1(C)CC1,CC1(C)CC1
164,,-75.0,25,ls,cyclic,CC1(C)CCC1,CC1(C)CCC1
165,,-66.0,25,ls,cationic,CC1(C)CCCC1,CC1(C)CCCC1
166,,-36.0,25,ls,cyclic,CC1(C)CCCCC1,CC1(C)CCCCC1
167,toluene,-44.6,,ss,ROP,C1CCOC(=O)C(C)(C)1,CC1(C)CCCOC1=O
168,,16.2,,ls,ROP,O=C(OCC(C)(C)COC(C1=CC=C(C(OCC(C)(C)COC2=O)=O)C=C1)=O)C3=CC=C2C=C3,CC1(C)COC(=O)c2ccc(cc2)C(=O)OCC(C)(C)COC(=O)c2ccc(cc2)C(=O)OC1
169,,-24.0,147,ls,ROP,CC1(C)COC(=O)OC1,CC1(C)COC(=O)OC1
170,tetrahydrofuran,-43.9,,ss,ROP,CC1(C)COC(=O)OC1,CC1(C)COC(=O)OC1
171,,-54.8,80,ls,cationic,CC1(C)COCO1,CC1(C)COCO1
172,dichloromethane,-20.5,,ss,ROMP,CC2(C)O[C@H]1CC/C=C\CC[C@@H]1O2,CC1(C)O[C@H]2CC/C=C\CC[C@@H]2O1
173,dichloromethane,-20.5,,ss,ROMP,CC1(C)OC2CC/C=C\CCC2O1,CC1(C)OC2CC/C=C\CCC2O1
174,toluene,-64.8,,ss,ROP,CC2(C)Oc1ccccc1COC2=O,CC1(C)Oc2ccccc2COC1=O
175,tetrahydrofuran,-40.6,,ss,ROP,CC2(c1ccccc1)COC(=O)OC2,CC1(c2ccccc2)COC(=O)OC1
176,toluene,-29.7,,ls,ROP,CC1CC(C)(C)COC(=O)C1,CC1CC(=O)OCC(C)(C)C1
177,,-27.4,,ls,ROP,CC(C)C1CC(=O)OC(C)C1,CC1CC(C(C)C)CC(=O)O1
178,,-85.0,25,ls,cationic,CC1CC1,CC1CC1
179,,-45.0,,ls,ROP,C1C(C)COC(=O)C1,CC1CCC(=O)OC1
180,toluene,-27.4,,ss,ROP,CC1CCC(C(C)C)OC(=O)C1,CC1CCC(C(C)C)OC(=O)C1
181,,-72.0,25,ls,cyclic,CC1CCC1,CC1CCC1
182,dichloromethane+toluene,-41.2,,ss,ROP,CC1CCCC(=O)O1,CC1CCCC(=O)O1
183,,-62.0,,ls,ROP,CC1CCCC(=O)O1,CC1CCCC(=O)O1
184,,-64.0,25,ls,cyclic,CC1CCCC1,CC1CCCC1
185,,-21.0,225,ls ,ROP,CC1CCCCC(=O)N1,CC1CCCCC(=O)N1
186,,-32.0,25,ls,cyclic,CC1CCCCC1,CC1CCCCC1
187,,-11.0,260,ls ,ROP,CC1CCCCNC1=O,CC1CCCCNC1=O
188,,-34.0,,ls,ROP,C1CCOC(=O)C(C)1,CC1CCCOC1=O
189,dichloroethane,-38.8,-15,ss,cationic,CC1CCCOCO1,CC1CCCOCO1
190,toluene,8.65,,ss,ROP,CC1CCCSC(=S)S1,CC1CCCSC(=S)S1
191,chloroform-D,-26.2,,ss,ROP,O=C1SCCCC1C,CC1CCCSC1=O
192,,-16.0,200,ls ,ROP,CC1CCNC(=O)CC1,CC1CCNC(=O)CC1
193,,-46.0,,ls,ROP,C1(C)CCOC(=O)C1,CC1CCOC(=O)C1
194,,-100.9,-6,ls,cationic,CC1CCOC1,CC1CCOC1
195,,-189.0,25,gg,cationic,CC1CO1,CC1CO1
196,,10.1,,ls,ROP,O=C(OCC(C)COC(C1=CC=C(C(OCC(C)COC2=O)=O)C=C1)=O)C3=CC=C2C=C3,CC1COC(=O)c2ccc(cc2)C(=O)OCC(C)COC(=O)c2ccc(cc2)C(=O)OC1
197,,-53.2,-8,ls,cationic,CC1COCO1,CC1COCO1
198,dichloromethane,-11.3,,ss,ROMP,CC2O[C@H]1CC/C=C\CC[C@@H]1O2,CC1O[C@H]2CC/C=C\CC[C@@H]2O1
199,,31.3,25,ls,ROP,CC1C(=O)OC(C(=O)O1)C,CC1OC(=O)C(C)OC1=O
200,,-13.0,127,ls,ROP,CC1C(=O)OC(C(=O)O1)C,CC1OC(=O)C(C)OC1=O
201,dichloromethane,-11.3,,ss,ROMP,CC1OC2CC/C=C\CCC2O1,CC1OC2CC/C=C\CCC2O1
202,,-52.0,,ls,ROP,O1C(C)OC(=O)CC1,CC1OCCC(=O)O1
203,"1,2-dichloroethane",-37.2,15,ss,cationic,CC1OCCCCO1,CC1OCCCCO1
204,dichloromethane,-39.0,-10,ss,cationic,CC1OCCCCO1,CC1OCCCCO1
205,toluene,-42.0,,ss,ROP,C1COC(=O)C(C)O1,CC1OCCOC1=O
206,,-39.2,,ls,ROP,C1COC(=O)C(C)O1,CC1OCCOC1=O
207,,-55.3,80,ls,cationic,CC1C(OCO1)C,CC1OCOC1C
208,toluene,-23.9,,ss,ROP,CC1SC(=O)C(C)SC1=O,CC1SC(=O)C(C)SC1=O
209,,-39.9,,ls,ROP,CC1SCCSC1=O,CC1SCCSC1=O
210,,-73.3,,ls,ionic,CCC=O,CCC=O
211,tetrahydrofuran,-10.0,,ss,ROP,CCC2(c1ccccc1)COC(=O)OC2,CCC1(c2ccccc2)COC(=O)OC1
212,toluene,-79.6,,ss,ROP,C1CCOC(=O)C(CC)(CC)1,CCC1(CC)CCCOC1=O
213,tetrahydrofuran,-45.6,,ss,ROP,CCC1(CC)COC(=O)OC1,CCC1(CC)COC(=O)OC1
214,,-30.7,,ls,ROP,O=C1C(CC)CCC(CC)O1,CCC1CCC(CC)C(=O)O1
215,,-55.0,,ls,ROP,CCC1CCCC(=O)O1,CCC1CCCC(=O)O1
216,,-59.4,-24,ls,cationic,CCC1COCO1,CCC1COCO1
217,dichloromethane,-38.9,,ss,ionic,CCCC=O,CCCC=O
218,n-hexane,-122.0,10,ss,ionic,CCCC=O,CCCC=O
219,toluene,-70.2,,ss,ROP,C1CCOC(=O)C(CCC)(CCC)1,CCCC1(CCC)CCCOC1=O
220,,-60.0,,ls,ROP,CCCC1CCCC(=O)O1,CCCC1CCCC(=O)O1
221,dichloromethane,-12.1336,,ss,misc,O=CC1=CC(C#CCCCC)=C(C#CCCCC)C=C1C=O,CCCCC#Cc1cc(C=O)c(C=O)cc1C#CCCCC
222,tetrahydrofuran,-107.6,-75,ss,ionic,CCCCC=O,CCCCC=O
223,,-97.1,-75,ls,ionic,CCCCC=O,CCCCC=O
224,toluene,-53.9,,ss,ROP,C1CCOC(=O)C(CCCC)(CCCC)1,CCCCC1(CCCC)CCCOC1=O
225,dichloromethane,-20.92,,ss,ROMP,CCCCC2(CCCC)O[C@H]1CC/C=C\CC[C@@H]1O2,CCCCC1(CCCC)O[C@H]2CC/C=C\CC[C@@H]2O1
226,dichloromethane,-20.9,,ss,ROMP,CCCCC1(CCCC)OC2CC/C=C\CCC2O1,CCCCC1(CCCC)OC2CC/C=C\CCC2O1
227,,-55.0,,ls,ROP,CCCCC1CCCC(=O)O1,CCCCC1CCCC(=O)O1
228,dichloroethane,-33.0,-5,ss,cationic,CCCCC1OCCCCO1,CCCCC1OCCCCO1
229,toluene,-16.0,10,ss,cationic,CCCCC1OCCOCCO1,CCCCC1OCCOCCO1
230,,-116.0,,ls,ionic,CCCCCC=O,CCCCCC=O
231,toluene,-46.5,,ss,ROP,C1CCOC(=O)C(CCCCC)(CCCCC)1,CCCCCC1(CCCCC)CCCOC1=O
232,,55.5,,ls,ROP,CCCCCC1CCCC(=O)O1,CCCCCC1CCCC(=O)O1
233,,-110.0,97,ls,ionic,CCCCCCC=O,CCCCCCC=O
234,toluene,-65.6,,ss,ROP,C1CCOC(=O)C(CCCCCC)(CCCCCC)1,CCCCCCC1(CCCCCC)CCCOC1=O
235,,-58.0,,ls,ROP,CCCCCCC1CCCC(=O)O1,CCCCCCC1CCCC(=O)O1
236,tetrahydrofuran,-65.7,-75,ss,ionic,CCCCCCCC=O,CCCCCCCC=O
237,,-57.8,-75,ls,ionic,CCCCCCCC=O,CCCCCCCC=O
238,,-59.0,,ls,ROP,CCCCCCCC1CCCC(=O)O1,CCCCCCCC1CCCC(=O)O1
239,,-55.0,,ls,ROP,CCCCCCCCCC1CCCC(=O)O1,CCCCCCCCCC1CCCC(=O)O1
240,,-148.0,,ls,vinyl,CCCCCCCCCCOC(=O)C=C,CCCCCCCCCCOC(=O)C=C
241,tetrachloroethane,-80.7512,,ss,misc,O=C(N1CCCCCCCC)C2=CC(C=O)=C(C=O)C=C2C1=O,CCCCCCCCN1C(=O)c2cc(C=O)c(C=O)cc2C1=O
242,dichloromethane,-2.4,100,ss,cationic,CCCOP1(=O)OCCCO1,CCCOP1(=O)OCCCO1
243,chloroform,-41.0,60,ss,ROMP,O=C(C(C#N)c1c(occ2)c2c(C(C(OCC)=O)C#N)cc1)OCC,CCOC(=O)C(C#N)c1ccc(C(C#N)C(=O)OCC)c2occc12
244,dichloromethane,-98.0,,ss,ionic,CCOC(=O)C=O,CCOC(=O)C=O
245,anisole,-51.7,,ss,cationic,O=C(OCC)CCCCC1SSCC1,CCOC(=O)CCCCC1CCSS1
246,dichloromethane,1.5,100,ss,cationic,CCOP1(=O)OCCCO1,CCOP1(=O)OCCCO1
247,,-83.0,25,ls,cationic,C1C(CO1)(CCl)CCl,ClCC1(CCl)COC1
248,toluene,-18.0,,ss,cyclic,CN1[Si](C)(C)O[Si](C)(C)O[Si]1(C)C,CN1[Si](C)(C)O[Si](C)(C)O[Si]1(C)C
249,,-25.0,25,ls,ROP,CN1CCCCC1=O,CN1CCCCC1=O
250,,-29.0,250,ls,ROP,CN1CCCCCC1=O,CN1CCCCCC1=O
251,dichloromethane,-99.0,,ss,ionic,COC(=O)C=O,COC(=O)C=O
252,xylene,-15.0624,,ss,ROMP,COC(=O)C2[C@H]1CC/C=C\CC[C@@H]1C2C(=O)OC,COC(=O)C1C(C(=O)OC)[C@H]2CC/C=C\CC[C@H]12
253,dichloromethane,-15.1,,ss,ROMP,O=C(C1C(C(OC)=O)C2CC/C=C\CCC21)OC,COC(=O)C1C2CC/C=C\CCC2C1C(=O)OC
254,chloroform-D,-62.3416,,ss,misc,O=CC1=CC(C(OC)=O)=C(C(OC)=O)C=C1C=O,COC(=O)c1cc(C=O)c(C=O)cc1C(=O)OC
255,tetrahydrofuran,-62.2,,ss,ROMP,O=C(OC)C1CC=CC1,COC(=O)C1CC=CC1
256,methanol,-41.0,,ss,ROP,COC(=O)C1CCC(=O)OC1,COC(=O)C1CCC(=O)OC1
257,tetrahydrofuran,60.0,,ss,cyclic,O=C(OC)CCCCC1SSCC1,COC(=O)CCCCC1CCSS1
258,dimethylformamide+dimethylsulfoxide,-31.0,,ss,misc,O=[N+](C1=CC(CC(OC)CCCS2)=C2C=C1)[O-],COC1CCCSc2ccc([N+](=O)[O-])cc2C1
259,tetrahydrofuran,-77.0,-80,ss,ionic,COCCOCCC=O,COCCOCCC=O
260,,-67.4,80,ls,ionic,COCCOCCC=O,COCCOCCC=O
261,dichloromethane,-2.5,100,ss,cationic,COP1(=O)OCCCO1,COP1(=O)OCCCO1
262,,-11.7,140,ls,cationic,COP1(=O)OCCCO1,COP1(=O)OCCCO1
263,tetrahydrofuran,-56.3,,ss,ROMP,OC(C1CC=CC1)=O,O=C(O)C1CC=CC1
264,tetrahydrofuran,-81.4,,ss,ROMP,O=C(OCC1=CC=CC=C1)C2CC=CC2,O=C(OCc1ccccc1)C1CC=CC1
265,xylene,-20.5,,ss,ROMP,O=C3[C@@H]2[C@H]1CC/C=C\CC[C@@H]1[C@@H]2C(=O)N3c4ccccc4,O=C1[C@@H]2[C@H]3CC/C=C\CC[C@@H]3[C@@H]2C(=O)N1c1ccccc1
266,dimethylformamide,-86.0,55,ss,vinyl,O=C1C=CC(=O)N1c2ccccc2,O=C1C=C(c2ccccc2)C(=O)N1
267,dichloromethane,-20.5,,ss,ROMP,O=C1N(C2=CC=CC=C2)C(C3C4CC/C=C\CCC4C31)=O,O=C1C2C3CC/C=C\CCC3C2C(=O)N1c1ccccc1
