,index,Solvent,dS (J/mol/K),Temp (C),BASE_State,BASE_Category,Monomer SMILES,Canonical SMILES,BASE_Monomer_State,BASE_Polymer_State
32,33,"1,2-Dichlorobenzene",-130.0,127.0,ss,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC,s,s
33,34,,-113.43,,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC,l,s
34,35,dichloromethane,-100.7,,ss,vinyl,CC1=C(C(=CC=C1)C)OC(=O)C(=C)C,C=C(C)C(=O)Oc1c(C)cccc1C,s,s
35,36,,-85.0,227.0,ls,vinyl,CC(=C)C(=O)OC1=CC=CC=C1C(=O)O,C=C(C)C(=O)Oc1ccccc1C(=O)O,l,s
36,37,,-126.0,120.0,ls,vinyl,CCOC(=O)C(=C)C,C=C(C)C(=O)OCC,l,s
37,38,benzonitrile,-151.0,127.0,ss,vinyl,CC(=C)C#N,C=C(C)C#N,s,s
38,39,tetrahydrofuran,-122.0,-5.0,ss,vinyl,CC(=C)C1=CC2=CC=CC=C2C=C1,C=C(C)c1ccc2ccccc2c1,s,s
39,40,toluene,-125.0,10.0,ss,vinyl,CC(=C)C1=CC2=CC=CC=C2C=C1,C=C(C)c1ccc2ccccc2c1,s,s
40,41,cyclohexane,-163.3,22.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s
41,42,n-heptane,-51.0,-10.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s
42,43,tetrahydrofuran,-130.0,-20.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s
43,44,toluene,-47.0,-10.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s
44,45,,-109.392,,ls,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,l,s
45,46,tetrahydrofuran,-70.0,20.0,ss,vinyl,CC(=C)C1=CC=CC=N1,C=C(C)c1ccccn1,s,s
46,47,tetrahydrofuran,-96.0,20.0,ss,vinyl,C=C(C)c1ncco1,C=C(C)c1ncco1,s,s
47,48,tetrahydrofuran,-69.0,20.0,ss,vinyl,CC(=C)C1=NC=CS1,C=C(C)c1nccs1,s,s
48,49,,-105.0,87.0,ls,vinyl,C=C(CC)C(OC)=O,C=C(CC)C(=O)OC,l,s
49,50,,-98.5,,ls,vinyl,C=C(Cl)Cl,C=C(Cl)Cl,l,s
50,51,,-193.0,,gg,vinyl,C=C(Cl)Cl,C=C(Cl)Cl,g,g
51,52,toluene,103.0,,ss,vinyl,CC(C)C1CCC(C)CC1OC(C(NC(C)=O)=C)=O,C=C(NC(C)=O)C(=O)OC1CC(C)CCC1C(C)C,s,s
52,53,,-109.5,25.0,ls,vinyl,C[Si](C)(C)(C=C),C=C[Si](C)(C)C,l,s
53,54,,-127.5,25.0,ls,vinyl,C[Si](C)(C=C)C1=CC=CC=C1,C=C[Si](C)(C)c1ccccc1,l,s
54,55,,-95.4,,ls,vinyl,C[Si](C)(CC1=CC=CC=C1)C=C,C=C[Si](C)(C)Cc1ccccc1,l,s
55,56,dimethylformamide,-108.8,83.0,ss,vinyl,C=C1CCCOC1=O,C=C1CCCOC1=O,s,s
56,57,dichloromethane-D,-40.1,,ss,vinyl,C=C1CCOC1=O,C=C1CCOC1=O,s,s
57,58,toluene,-81.2,,ss,vinyl,O=C1OC(C)(C(C)C)OC1=C,C=C1OC(C)(C(C)C)OC1=O,s,s
58,59,,-198.0,,gg,vinyl,CC=C,C=CC,g,g
59,60,,-114.5,,ls,vinyl,CC=C,C=CC,l,s
60,61,,-101.0,25.0,ls,misc,CC(=C)C=C,C=CC(=C)C,l,s
61,62,,-99.67,,ls,vinyl,CCOC(=O)C=C,C=CC(=O)OCC,l,s
62,63,,-109.0,25.0,ls,vinyl,C=CC#N,C=CC#N,l,s
63,64,,-86.5,,ls,misc,C=CC=C,C=CC=C,l,s
64,65,,-22.9,,ls,ROP,CC=C1CCC(OC1=O)C=C,C=CC1CCC(=CC)C(=O)O1,l,s
65,67,,-105.4,,ls,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1,l,s
66,68,,-149.0,25.0,gg,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1,g,g
67,69,,-93.0,,ls,vinyl,C=CC1CCCCC1,C=CC1CCCCC1,l,s
68,70,,-100.25,,ls,vinyl,CCC=C,C=CCC,l,s
69,71,,-182.0,227.0,gg,vinyl,CCC=C,C=CCC,g,g
70,72,,-121.0,,ls,vinyl,CC(C)CC=C,C=CCC(C)C,l,s
71,73,,-176.0,327.0,gg,vinyl,CC(C)CC=C,C=CCC(C)C,g,g
72,74,,-118.5,,ls,vinyl,CCCC=C,C=CCCC,l,s
73,75,,-194.0,,gg,vinyl,CCCC=C,C=CCCC,g,g
74,76,,-113.0,,ls,vinyl,CCCCC=C,C=CCCCC,l,s
75,77,,-168.0,25.0,gg,vinyl,CCCCCC=C,C=CCCCCC,g,g
76,78,,-92.67,,ls,vinyl,C=CCOC(=O)C=C,C=CCOC(=O)C=C,l,s
77,79,acetonitrile,-26.8,,ss,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1,s,s
78,80,toluene,-46.6,,ss,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1,s,s
79,81,,-6.9,,ls,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1,l,s
80,82,,-48.33,,ls,vinyl,C=CCOCCOC(=O)C=C,C=CCOCCOC(=O)C=C,l,s
81,83,pyridine,-28.1,,ss,ROP,C=CCOCCOCCOCCOC(=O)NC1C(=O)SC1(C)C,C=CCOCCOCCOCCOC(=O)NC1C(=O)SC1(C)C,s,s
82,84,,-109.6208,25.0,ls,vinyl,CC(=O)OC=C,C=COC(C)=O,l,s
83,85,,-135.98,,gg,ionic,C=O,C=O,g,g
84,86,dichloromethane,-14.2,,ss,ROMP,C/2=C/CC[C@@H]1CC[C@H]1CC2,C1=C\CC[C@@H]2CC[C@H]2CC/1,s,s
85,87,dichloromethane,-13.4,,ss,ROMP,C/2=C/CC[C@@H]1CCC[C@H]1CC2,C1=C\CC[C@@H]2CCC[C@H]2CC/1,s,s
86,88,dichloromethane,-13.8,,ss,ROMP,C/3=C/CC[C@@H]2OC1(CCCCC1)O[C@H]2CC3,C1=C\CC[C@@H]2OC3(CCCCC3)O[C@H]2CC/1,s,s
87,89,dichloromethane,-12.1,,ss,ROMP,C/2=C/CC[C@@H]1OCO[C@H]1CC2,C1=C\CC[C@@H]2OCO[C@H]2CC/1,s,s
88,90,dichloromethane,-13.8,,ss,ROMP,C12CC/C=C\CCC1OC3(CCCCC3)O2,C1=C\CCC2OC3(CCCCC3)OC2CC/1,s,s
89,91,toluene,-29.3,50.0,ss,ROMP,C1(SSS2)C2C3C(CC=C4)C4C1C3,C1=CC2C(C1)C1CC2C2SSSC12,s,s
90,92,,-75.5,,ls,ROMP,C1CC2CC1C=C2,C1=CC2CCC1C2,l,s
91,93,toluene,-98.0,60.0,ss,vinyl,C1=CC2=C3C(=C1)C=CC3=CC=C2,C1=Cc2cccc3cccc1c23,s,s
92,94,toluene,-79.9,,ss,ROMP,C1C=CCC1C2=CC=CC=C2,C1=CCC(c2ccccc2)C1,s,s
93,95,dichloromethane,-68.5,,ss,ROMP,C1(COCC2=CC=CC=C2)CC=CC1,C1=CCC(COCc2ccccc2)C1,s,s
94,96,tetrahydrofuran,-59.6,,ss,ROMP,C1(OCC2=CC=CC=C2)CC=CC1,C1=CCC(OCc2ccccc2)C1,s,s
95,97,,-131.0,25.0,gg,ROMP,C1CC=C1,C1=CCC1,g,g
96,98,,-52.0,25.0,ls,ROMP,C1CC=C1,C1=CCC1,l,s
97,99,tetrahydrofuran,-54.2,,ss,ROMP,C1CC=CC1,C1=CCCC1,s,s
98,100,,-54.0,73.0,ls,ROMP,C1CC=CC1,C1=CCCC1,l,s
99,101,toluene,-77.4,,ss,ROMP,C1=CCCC1,C1=CCCC1,s,s
100,102,toluene,-17.0,-65.0,ss,ROMP,C1CCC=CC1,C1=CCCCC1,s,s
101,103,,-36.0,51.0,ls,ROMP,C1CCC=CCC1,C1=CCCCCC1,l,s
102,104,,-9.0,57.0,ls,ROMP,C1CCCC=CCC1,C1=CCCCCCC1,l,s
103,105,,-69.0,25.0,ls,cyclic,C1CC1,C1CC1,l,s
104,106,,-55.0,25.0,ls,cyclic,C1CCC1,C1CCC1,l,s
105,107,,-43.0,25.0,ls,cationic,C1CCCC1,C1CCCC1,l,s
106,108,,-11.0,25.0,ls,cyclic,C1CCCCC1,C1CCCCC1,l,s
107,109,,-16.0,25.0,ls,cyclic,C1CCCCCC1,C1CCCCCC1,l,s
108,110,,-3.0,25.0,ls,cationic,C1CCCCCCC1,C1CCCCCCC1,l,s
109,111,,12.4,25.0,ls,cationic,C1CCCOCC1,C1CCCOCC1,l,s
110,112,,-91.8,25.0,gg,cationic,C1CCCOCC1,C1CCCOCC1,g,g
111,113,diethyl ether,-87.0,40.0,ss,cationic,C1CCOC1,C1CCOC1,s,s
112,114,,-131.33,,gg,cationic,C1CCOC1,C1CCOC1,g,g
113,115,,-67.0,40.0,ls,cationic,C1CCOC1,C1CCOC1,l,s
114,116,benzene,-39.0,60.0,ss,cationic,C1CCOCOC1,C1CCOCOC1,s,s
115,117,"1,2-dichloroethane",-43.0,0.0,ss,cationic,C1CCOCOC1,C1CCOCOC1,s,s
116,118,dichloromethane,-48.0,-30.0,ss,cationic,C1CCOCOC1,C1CCOCOC1,s,s
117,119,,-32.05,,ls,cationic,C1CCOCOC1,C1CCOCOC1,l,s
118,120,toluene,-26.0,75.0,ss,cationic,C1CCOCOC1,C1CCOCOC1,s,s
119,121,,-131.4,25.0,gg,cationic,C1CCOCOC1,C1CCOCOC1,g,g
120,122,,-10.2,25.0,ls,cationic,C1CCOCOCC1,C1CCOCOCC1,l,s
121,123,,-121.7,25.0,gg,cationic,C1CCOCOCC1,C1CCOCOCC1,g,g
122,124,,-51.9,27.0,ls,cationic,C1CN1,C1CN1,l,s
123,125,,-174.0,25.0,gg,cationic,C1CO1,C1CO1,g,g
124,126,,-68.4,25.0,ls,cationic,C1COC1,C1COC1,l,s
125,127,,-162.7,25.0,gg,cationic,C1COC1,C1COC1,g,g
126,128,gamma valerolactone,-78.0,,ss,cationic,C1COCO1,C1COCO1,s,s
127,129,,-48.5,,ls,cationic,C1COCO1,C1COCO1,l,s
128,130,benzene,-59.0,30.0,ss,cationic,C1COCO1,C1COCO1,s,s
129,131,chloromethane,-94.0,20.0,ss,cationic,C1COCO1,C1COCO1,s,s
130,132,dichloromethane,-78.0,0.0,ss,cationic,C1COCO1,C1COCO1,s,s
131,133,toluene,-22.0,75.0,ss,cationic,C1COCO1,C1COCO1,s,s
132,134,,-151.0,,gg,cationic,C1COCO1,C1COCO1,g,g
133,135,,-23.0,20.0,ls,cationic,C1COCOC1,C1COCOC1,l,s
134,136,benzene,-39.0,60.0,ss,cationic,C1COCOCCO1,C1COCOCCO1,s,s
135,137,toluene,-13.0,20.0,ss,cationic,C1COCOCCO1,C1COCOCCO1,s,s
136,138,,-8.0,25.0,ls,cationic,C1COCOCCO1,C1COCOCCO1,l,s
137,139,,-129.1,25.0,gg,cationic,C1COCOCCO1,C1COCOCCO1,g,g
138,140,,-51.0,25.0,gg,cationic,C1COOOO1,C1COOOO1,g,g
139,141,,3.0,27.0,ls,cationic,C1COOOO1,C1COOOO1,l,s
140,142,,-156.0,25.0,gg,cationic,C1OCOCO1,C1OCOCO1,g,g
141,143,"1,2-dichloroethane",-41.0,40.0,ss,cationic,C1OCOCO1,C1OCOCO1,s,s
142,144,nitrobenzene,-42.0,25.0,ss,cationic,C1OCOCO1,C1OCOCO1,s,s
143,145,,-18.0,25.0,ls,cationic,C1OCOCO1,C1OCOCO1,l,s
144,146,,-93.6,-80.0,ls,ionic,CC(=O)CCC=O,CC(=O)CCC=O,l,s
145,147,,293.3,,gg,ionic,CC(=O)O,CC(=O)O,g,g
146,148,toluene,-30.0,,ss,ROMP,C[Si](C(C)(C)C)(OC1C=CCC1)C,CC(C)(C)[Si](C)(C)OC1C=CCC1,s,s
147,149,tetrahydrofuran,-58.5,,ss,ROMP,C[Si](OC1CC=CC1)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)OC1CC=CC1,s,s
148,150,dichloromethane+chloroform,-40.4,,ss,ROP,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2,s,s
149,151,tetrahydrofuran,-90.0,-65.0,ss,ionic,CC(C)(Cl)C=O,CC(C)(Cl)C=O,s,s
150,152,toluene,-27.4,,ss,cationic,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,CC(C)[C@@H]1CC[C@@H](C)CC1=O,s,s
151,153,,-188.0,25.0,gg,ionic,CC(=O)C,CC(C)=O,g,g
152,154,,-48.9,,ls,ionic,CC(=S)C,CC(C)=S,l,s
153,155,diethyl ether,-78.0,-65.0,ss,ionic,CC(C)C=O,CC(C)C=O,s,s
154,156,n-pentane,-94.0,65.0,ss,ionic,CC(C)C=O,CC(C)C=O,s,s
155,157,tetrahydrofuran,-74.0,-65.0,ss,ionic,CC(C)C=O,CC(C)C=O,s,s
156,158,,-60.7,80.0,ls,cationic,CC(C)C1COCO1,CC(C)C1COCO1,l,s
157,159,tetrahydrofuran,-74.0,-65.0,ss,ionic,CC(C=O)(Cl)Cl,CC(Cl)(Cl)C=O,s,s
158,160,toluene,-80.0,,ss,ROMP,CC[Si](CC)(OC1C=CCC1)CC,CC[Si](CC)(CC)OC1C=CCC1,s,s
159,161,,-25.0,25.0,ls,cationic,CC[Si]1(O[Si](O[Si](O1)(CC)CC)(CC)CC)CC,CC[Si]1(CC)O[Si](CC)(CC)O[Si](CC)(CC)O1,l,s
160,162,,-17.5,,ls,ionic,CC=O,CC=O,l,s
161,163,,-93.0,25.0,ls,cationic,CC1(C)CC1,CC1(C)CC1,l,s
162,164,,-75.0,25.0,ls,cyclic,CC1(C)CCC1,CC1(C)CCC1,l,s
163,165,,-66.0,25.0,ls,cationic,CC1(C)CCCC1,CC1(C)CCCC1,l,s
164,166,,-36.0,25.0,ls,cyclic,CC1(C)CCCCC1,CC1(C)CCCCC1,l,s
165,167,toluene,-44.6,,ss,ROP,C1CCOC(=O)C(C)(C)1,CC1(C)CCCOC1=O,s,s
166,168,,16.2,,ls,ROP,O=C(OCC(C)(C)COC(C1=CC=C(C(OCC(C)(C)COC2=O)=O)C=C1)=O)C3=CC=C2C=C3,CC1(C)COC(=O)c2ccc(cc2)C(=O)OCC(C)(C)COC(=O)c2ccc(cc2)C(=O)OC1,l,s
167,169,,-24.0,147.0,ls,ROP,CC1(C)COC(=O)OC1,CC1(C)COC(=O)OC1,l,s
168,170,tetrahydrofuran,-43.9,,ss,ROP,CC1(C)COC(=O)OC1,CC1(C)COC(=O)OC1,s,s
169,171,,-54.8,80.0,ls,cationic,CC1(C)COCO1,CC1(C)COCO1,l,s
170,172,dichloromethane,-20.5,,ss,ROMP,CC2(C)O[C@H]1CC/C=C\CC[C@@H]1O2,CC1(C)O[C@H]2CC/C=C\CC[C@@H]2O1,s,s
171,173,dichloromethane,-20.5,,ss,ROMP,CC1(C)OC2CC/C=C\CCC2O1,CC1(C)OC2CC/C=C\CCC2O1,s,s
172,174,toluene,-64.8,,ss,ROP,CC2(C)Oc1ccccc1COC2=O,CC1(C)Oc2ccccc2COC1=O,s,s
173,175,tetrahydrofuran,-40.6,,ss,ROP,CC2(c1ccccc1)COC(=O)OC2,CC1(c2ccccc2)COC(=O)OC1,s,s
174,176,toluene,-29.7,,ls,ROP,CC1CC(C)(C)COC(=O)C1,CC1CC(=O)OCC(C)(C)C1,l,s
175,177,,-27.4,,ls,ROP,CC(C)C1CC(=O)OC(C)C1,CC1CC(C(C)C)CC(=O)O1,l,s
176,178,,-85.0,25.0,ls,cationic,CC1CC1,CC1CC1,l,s
177,179,,-45.0,,ls,ROP,C1C(C)COC(=O)C1,CC1CCC(=O)OC1,l,s
178,180,toluene,-27.4,,ss,ROP,CC1CCC(C(C)C)OC(=O)C1,CC1CCC(C(C)C)OC(=O)C1,s,s
179,181,,-72.0,25.0,ls,cyclic,CC1CCC1,CC1CCC1,l,s
180,182,dichloromethane+toluene,-41.2,,ss,ROP,CC1CCCC(=O)O1,CC1CCCC(=O)O1,s,s
181,183,,-62.0,,ls,ROP,CC1CCCC(=O)O1,CC1CCCC(=O)O1,l,s
182,184,,-64.0,25.0,ls,cyclic,CC1CCCC1,CC1CCCC1,l,s
183,185,,-21.0,225.0,ls ,ROP,CC1CCCCC(=O)N1,CC1CCCCC(=O)N1,l,
184,186,,-32.0,25.0,ls,cyclic,CC1CCCCC1,CC1CCCCC1,l,s
185,187,,-11.0,260.0,ls ,ROP,CC1CCCCNC1=O,CC1CCCCNC1=O,l,
186,188,,-34.0,,ls,ROP,C1CCOC(=O)C(C)1,CC1CCCOC1=O,l,s
187,189,dichloroethane,-38.8,-15.0,ss,cationic,CC1CCCOCO1,CC1CCCOCO1,s,s
188,190,toluene,8.65,,ss,ROP,CC1CCCSC(=S)S1,CC1CCCSC(=S)S1,s,s
189,191,chloroform-D,-26.2,,ss,ROP,O=C1SCCCC1C,CC1CCCSC1=O,s,s
190,192,,-16.0,200.0,ls ,ROP,CC1CCNC(=O)CC1,CC1CCNC(=O)CC1,l,
191,193,,-46.0,,ls,ROP,C1(C)CCOC(=O)C1,CC1CCOC(=O)C1,l,s
192,194,,-100.9,-6.0,ls,cationic,CC1CCOC1,CC1CCOC1,l,s
193,195,,-189.0,25.0,gg,cationic,CC1CO1,CC1CO1,g,g
194,196,,10.1,,ls,ROP,O=C(OCC(C)COC(C1=CC=C(C(OCC(C)COC2=O)=O)C=C1)=O)C3=CC=C2C=C3,CC1COC(=O)c2ccc(cc2)C(=O)OCC(C)COC(=O)c2ccc(cc2)C(=O)OC1,l,s
195,197,,-53.2,-8.0,ls,cationic,CC1COCO1,CC1COCO1,l,s
196,198,dichloromethane,-11.3,,ss,ROMP,CC2O[C@H]1CC/C=C\CC[C@@H]1O2,CC1O[C@H]2CC/C=C\CC[C@@H]2O1,s,s
197,199,,31.3,25.0,ls,ROP,CC1C(=O)OC(C(=O)O1)C,CC1OC(=O)C(C)OC1=O,l,s
198,200,,-13.0,127.0,ls,ROP,CC1C(=O)OC(C(=O)O1)C,CC1OC(=O)C(C)OC1=O,l,s
199,201,dichloromethane,-11.3,,ss,ROMP,CC1OC2CC/C=C\CCC2O1,CC1OC2CC/C=C\CCC2O1,s,s
200,202,,-52.0,,ls,ROP,O1C(C)OC(=O)CC1,CC1OCCC(=O)O1,l,s
201,203,"1,2-dichloroethane",-37.2,15.0,ss,cationic,CC1OCCCCO1,CC1OCCCCO1,s,s
202,204,dichloromethane,-39.0,-10.0,ss,cationic,CC1OCCCCO1,CC1OCCCCO1,s,s
203,205,toluene,-42.0,,ss,ROP,C1COC(=O)C(C)O1,CC1OCCOC1=O,s,s
204,206,,-39.2,,ls,ROP,C1COC(=O)C(C)O1,CC1OCCOC1=O,l,s
205,207,,-55.3,80.0,ls,cationic,CC1C(OCO1)C,CC1OCOC1C,l,s
206,208,toluene,-23.9,,ss,ROP,CC1SC(=O)C(C)SC1=O,CC1SC(=O)C(C)SC1=O,s,s
207,209,,-39.9,,ls,ROP,CC1SCCSC1=O,CC1SCCSC1=O,l,s
208,210,,-73.3,,ls,ionic,CCC=O,CCC=O,l,s
209,211,tetrahydrofuran,-10.0,,ss,ROP,CCC2(c1ccccc1)COC(=O)OC2,CCC1(c2ccccc2)COC(=O)OC1,s,s
210,212,toluene,-79.6,,ss,ROP,C1CCOC(=O)C(CC)(CC)1,CCC1(CC)CCCOC1=O,s,s
211,213,tetrahydrofuran,-45.6,,ss,ROP,CCC1(CC)COC(=O)OC1,CCC1(CC)COC(=O)OC1,s,s
212,214,,-30.7,,ls,ROP,O=C1C(CC)CCC(CC)O1,CCC1CCC(CC)C(=O)O1,l,s
213,215,,-55.0,,ls,ROP,CCC1CCCC(=O)O1,CCC1CCCC(=O)O1,l,s
214,216,,-59.4,-24.0,ls,cationic,CCC1COCO1,CCC1COCO1,l,s
215,217,dichloromethane,-38.9,,ss,ionic,CCCC=O,CCCC=O,s,s
216,218,n-hexane,-122.0,10.0,ss,ionic,CCCC=O,CCCC=O,s,s
217,219,toluene,-70.2,,ss,ROP,C1CCOC(=O)C(CCC)(CCC)1,CCCC1(CCC)CCCOC1=O,s,s
218,220,,-60.0,,ls,ROP,CCCC1CCCC(=O)O1,CCCC1CCCC(=O)O1,l,s
219,221,dichloromethane,-12.1336,,ss,misc,O=CC1=CC(C#CCCCC)=C(C#CCCCC)C=C1C=O,CCCCC#Cc1cc(C=O)c(C=O)cc1C#CCCCC,s,s
220,222,tetrahydrofuran,-107.6,-75.0,ss,ionic,CCCCC=O,CCCCC=O,s,s
221,223,,-97.1,-75.0,ls,ionic,CCCCC=O,CCCCC=O,l,s
222,224,toluene,-53.9,,ss,ROP,C1CCOC(=O)C(CCCC)(CCCC)1,CCCCC1(CCCC)CCCOC1=O,s,s
223,225,dichloromethane,-20.92,,ss,ROMP,CCCCC2(CCCC)O[C@H]1CC/C=C\CC[C@@H]1O2,CCCCC1(CCCC)O[C@H]2CC/C=C\CC[C@@H]2O1,s,s
224,226,dichloromethane,-20.9,,ss,ROMP,CCCCC1(CCCC)OC2CC/C=C\CCC2O1,CCCCC1(CCCC)OC2CC/C=C\CCC2O1,s,s
225,227,,-55.0,,ls,ROP,CCCCC1CCCC(=O)O1,CCCCC1CCCC(=O)O1,l,s
226,228,dichloroethane,-33.0,-5.0,ss,cationic,CCCCC1OCCCCO1,CCCCC1OCCCCO1,s,s
227,229,toluene,-16.0,10.0,ss,cationic,CCCCC1OCCOCCO1,CCCCC1OCCOCCO1,s,s
228,230,,-116.0,,ls,ionic,CCCCCC=O,CCCCCC=O,l,s
229,231,toluene,-46.5,,ss,ROP,C1CCOC(=O)C(CCCCC)(CCCCC)1,CCCCCC1(CCCCC)CCCOC1=O,s,s
230,232,,55.5,,ls,ROP,CCCCCC1CCCC(=O)O1,CCCCCC1CCCC(=O)O1,l,s
231,233,,-110.0,97.0,ls,ionic,CCCCCCC=O,CCCCCCC=O,l,s
232,234,toluene,-65.6,,ss,ROP,C1CCOC(=O)C(CCCCCC)(CCCCCC)1,CCCCCCC1(CCCCCC)CCCOC1=O,s,s
233,235,,-58.0,,ls,ROP,CCCCCCC1CCCC(=O)O1,CCCCCCC1CCCC(=O)O1,l,s
234,236,tetrahydrofuran,-65.7,-75.0,ss,ionic,CCCCCCCC=O,CCCCCCCC=O,s,s
235,237,,-57.8,-75.0,ls,ionic,CCCCCCCC=O,CCCCCCCC=O,l,s
236,238,,-59.0,,ls,ROP,CCCCCCCC1CCCC(=O)O1,CCCCCCCC1CCCC(=O)O1,l,s
237,239,,-55.0,,ls,ROP,CCCCCCCCCC1CCCC(=O)O1,CCCCCCCCCC1CCCC(=O)O1,l,s
238,240,,-148.0,,ls,vinyl,CCCCCCCCCCOC(=O)C=C,CCCCCCCCCCOC(=O)C=C,l,s
239,241,tetrachloroethane,-80.7512,,ss,misc,O=C(N1CCCCCCCC)C2=CC(C=O)=C(C=O)C=C2C1=O,CCCCCCCCN1C(=O)c2cc(C=O)c(C=O)cc2C1=O,s,s
